chunk_id,parent_doc_id,corpus_tier,page_range,word_range,word_count,chunk_path,parent_dqa_score,parent_locus_tag,parent_verification_logic
A-RES-100-C01,A-RES-100,A,Page 1 to Page 2,1 - 330,330,CorpusA_Chunks\A-RES-100\A-RES-100-C01.txt,"M,A,A,A,A,A",supplychain_research-compliance-framework,direct-institutional-or-academic-extraction
A-RES-100-C06,A-RES-100,A,Page 9,1548 - 1898,351,CorpusA_Chunks\A-RES-100\A-RES-100-C06.txt,"M,A,A,A,A,A",supplychain_research-compliance-framework,direct-institutional-or-academic-extraction
A-RES-100-C11,A-RES-100,A,Page 15 to Page 16,3199 - 3547,349,CorpusA_Chunks\A-RES-100\A-RES-100-C11.txt,"M,A,A,A,A,A",supplychain_research-compliance-framework,direct-institutional-or-academic-extraction
A-RES-100-C17,A-RES-100,A,Page 26 to Page 27,4981 - 5230,250,CorpusA_Chunks\A-RES-100\A-RES-100-C17.txt,"M,A,A,A,A,A",supplychain_research-compliance-framework,direct-institutional-or-academic-extraction
A-RES-100-C22,A-RES-100,A,Page 34 to Page 35,6365 - 6614,250,CorpusA_Chunks\A-RES-100\A-RES-100-C22.txt,"M,A,A,A,A,A",supplychain_research-compliance-framework,direct-institutional-or-academic-extraction
A-RES-100-C28,A-RES-100,A,Page 43 to Page 44,8075 - 8203,129,CorpusA_Chunks\A-RES-100\A-RES-100-C28.txt,"M,A,A,A,A,A",supplychain_research-compliance-framework,direct-institutional-or-academic-extraction
A-APEDA-001-C01,A-APEDA-001,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-APEDA-001\A-APEDA-001-C01.txt,"A,A,A,A,A,A",organic-certification-framework,third-party-accreditation-and-farm-inspection
A-APEDA-001-C05,A-APEDA-001,A,N/A (Web Scraped / Text Extract),1001 - 1250,250,CorpusA_Chunks\A-APEDA-001\A-APEDA-001-C05.txt,"A,A,A,A,A,A",organic-certification-framework,third-party-accreditation-and-farm-inspection
A-APEDA-001-C09,A-APEDA-001,A,N/A (Web Scraped / Text Extract),2001 - 2380,380,CorpusA_Chunks\A-APEDA-001\A-APEDA-001-C09.txt,"A,A,A,A,A,A",organic-certification-framework,third-party-accreditation-and-farm-inspection
A-APEDA-007-C01,A-APEDA-007,A,N/A (Web Scraped / Text Extract),1 - 250,250,CorpusA_Chunks\A-APEDA-007\A-APEDA-007-C01.txt,"A,A,A,A,A,A",cereals-export-protocol,phytosanitary-and-pesticide-mrl-screening
